name,description,imageUrl,slug,_id,price,discountPercentage,isFeaturedProduct,stockLevel,category
Uchiwa Quilted Lounge Chair,A spacious lounge chair with a quilted back and soft cushioning.,https://cdn.sanity.io/images/eywckf5j/production/2e1f600d17d0908be26d3768263fa9b3d7fe4ead-402x402.png,null,T085KYtXNFHGKpMRVLJKen,1600,20,TRUE,5,Chair
High Quality Modern Customized Plastic Chair,A simple and lightweight chair ideal for dining or casual use.,https://cdn.sanity.io/images/eywckf5j/production/5209eafe1ea4da4a8b85ba319adf72ba2c7ae0df-356x356.png,null,T085KYtXNFHGKpMRVLJOoD,150,0,FALSE,50,Chair
Alpha Chair – Solid Ebonised Oak,A sturdy oak chair with a sleek and minimalist design.,https://cdn.sanity.io/images/eywckf5j/production/e5eb06e698807e973fefe97d23e69a3a7fcd2f28-134x134.png,null,T085KYtXNFHGKpMRVLJQI9,900,10,FALSE,18,Chair
Replica Hans Wegner Wishbone Chair,Classic wishbone chair with a dark walnut frame and cord seat.,https://cdn.sanity.io/images/eywckf5j/production/f006a5d97f5aa8bd9fe8e34cb48a34691a9ef667-128x142.png,null,T085KYtXNFHGKpMRVLJRFu,750,10,FALSE,25,Chair
Leisure Sofa Chair Set,A comfortable set of chairs with soft cushions for relaxation.,https://cdn.sanity.io/images/eywckf5j/production/f81a1aec90ba04077470dd561bd06ea4666d0e98-334x334.png,null,T085KYtXNFHGKpMRVLJTvO,1800,18,TRUE,6,Sofa
Diondre Chair - Tuft Button - Acrylic Legs,"A tufted chair with acrylic legs for a chic, modern touch.",https://cdn.sanity.io/images/eywckf5j/production/ad4f20209590305f77187d4c81d7454fdf46d682-338x338.png,null,T085KYtXNFHGKpMRVLJUjx,720,7,FALSE,10,Chair
Varmora Plastic Chair Solid,Durable and lightweight plastic chair for everyday use.,https://cdn.sanity.io/images/eywckf5j/production/aa998d18cec2c3dd1e7018f8ae09d371d22c9385-444x446.png,null,T085KYtXNFHGKpMRVLJWfT,100,25,FALSE,100,Chair
Luxury Flower Shell Sofa Chair,A luxurious shell-shaped chair with gold brass metal legs.,https://cdn.sanity.io/images/eywckf5j/production/b36c424e4368829cc69cefdb42ba7b9d213e965e-1258x1258.png,null,T085KYtXNFHGKpMRVLJZdL,2500,0,TRUE,2,Sofa
Hans Wegner Style Three-Legged Shell Chair,Iconic three-legged chair with faux leather and ash plywood frame.,https://cdn.sanity.io/images/eywckf5j/production/de34e83f199a2cc87924c721e88a3f6a7104e804-260x300.png,null,YlhK9NX1vGHZafm0IxOpoG,990,10,FALSE,8,Chair
Rapson Thirty-Nine Guest Chair,A mid-century modern chair with clean lines and durable materials.,https://cdn.sanity.io/images/eywckf5j/production/fe1daa53f54c2706e2082623ded263d99f2b29be-490x490.png,null,YlhK9NX1vGHZafm0IxOqJE,1300,15,TRUE,20,Chair
